SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
11 July 2017,2-884537113,LASBT Private,Noise Nuisance,LS6 3
11 July 2017,2-884537196,LASBT Private,Noise Nuisance,LS6 2
11 July 2017,2-884537259,LASBT Private,Noise Nuisance,LS6 1
11 July 2017,2-884537362,LASBT Private,Noise Nuisance,LS4 2
11 July 2017,2-884537855,LASBT Private,Noise Nuisance,LS16 5
11 July 2017,2-884545059,LASBT Private,Noise Nuisance,LS7 2
11 July 2017,2-884545190,LASBT Private,Noise Nuisance,LS12 4
11 July 2017,2-884545463,LASBT Private,Noise Nuisance,LS13 2
11 July 2017,2-884545875,LASBT Private,Noise Nuisance,N
20 July 2017,2-885721651,LASBT Private,Noise Nuisance,LS6 3
19 July 2017,2-885644021,LASBT Private,Noise Nuisance,LS21 1
12 July 2017,2-884576870,LASBT Private,Noise Nuisance,LS6 1
19 July 2017,2-885533620,LASBT Private,Noise Nuisance,LS19 6
12 July 2017,2-884702184,LASBT ALMO,Noise Nuisance,LS12 5
19 July 2017,2-885533474,LASBT Private,Noise Nuisance,LS6 1
19 July 2017,2-885533421,LASBT Private,Noise Nuisance,LS16 5
12 July 2017,2-884753348,LASBT ALMO,Noise Nuisance,LS12 5
19 July 2017,2-885533128,LASBT Private,Noise Nuisance,LS6 1
19 July 2017,2-885533055,LASBT Private,Noise Nuisance,LS13 1
19 July 2017,2-885510972,LASBT Private,Noise Nuisance,LS13 2
19 July 2017,2-885510606,LASBT Private,Noise Nuisance,LS12 3
13 July 2017,2-884824094,LASBT Private,Noise Nuisance,LS16 6
13 July 2017,2-884866336,LASBT ALMO,Noise Nuisance,LS12 2
18 July 2017,2-885402745,LASBT Private,Noise Nuisance,LS19 7
13 July 2017,2-884883057,LASBT Private,Noise Nuisance,LS12 2
18 July 2017,2-885359746,LASBT Private,Noise Nuisance,LS6 2
13 July 2017,2-884907309,LASBT Private,Noise Nuisance,LS6 1
13 July 2017,2-884907556,LASBT Private,Noise Nuisance,LS6 1
17 July 2017,2-885196958,LASBT Private,Noise Nuisance,LS28 5
14 July 2017,2-884970627,LASBT Private,Noise Nuisance,LS16 7
14 July 2017,2-884989133,LASBT Private,Noise Nuisance,LS13 3
17 July 2017,2-885176150,Tenancy Breach,Noise Nuisance,LS12 5
14 July 2017,2-884991952,LASBT ALMO,Noise Nuisance,LS12 5
17 July 2017,2-885150769,LASBT Private,Noise Nuisance,LS28 8
17 July 2017,2-885156234,LASBT ALMO,Noise Nuisance,LS16 6
14 July 2017,2-885054815,LASBT Private,Noise Nuisance,LS6 3
14 July 2017,2-885083167,LASBT Private,Noise Nuisance,LS6 1
03 July 2017,2-883287579,LASBT Private,Noise Nuisance,LS6 4
03 July 2017,2-883331416,LASBT Private,Noise Nuisance,LS5 3
03 July 2017,2-883303765,Tenancy Breach,Noise Nuisance,LS8 1
31 July 2017,2-887047949,Tenancy Breach,Noise Nuisance,LS14 6
03 July 2017,2-883344124,Tenancy Breach,Noise Nuisance,LS11 9
31 July 2017,2-887049849,LASBT ALMO,Noise Nuisance,LS7 1
31 July 2017,2-887033720,LASBT ALMO,Noise Nuisance,LS12 5
31 July 2017,2-887030600,Tenancy Breach,Noise Nuisance,LS12 1
03 July 2017,2-883362270,LASBT ALMO,Noise Nuisance,LS11 5
03 July 2017,2-883367783,Tenancy Breach,Noise Nuisance,LS14 6
03 July 2017,2-883353513,Tenancy Breach,Noise Nuisance,LS12 3
03 July 2017,2-883353744,Tenancy Breach,Noise Nuisance,LS12 3
03 July 2017,2-883383130,Tenancy Breach,Noise Nuisance,LS8 3
03 July 2017,2-883388573,LASBT ALMO,Noise Nuisance,LS11 5
03 July 2017,2-883391672,Tenancy Breach,Noise Nuisance,LS6 2
31 July 2017,2-887027345,Tenancy Breach,Noise Nuisance,LS13 4
03 July 2017,2-883442668,Tenancy Breach,Noise Nuisance,LS8 3
03 July 2017,2-883457579,LASBT Private,Noise Nuisance,LS8 3
03 July 2017,2-883465515,Tenancy Breach,Noise Nuisance,LS12 3
31 July 2017,2-887021058,LASBT ALMO,Noise Nuisance,LS13 2
03 July 2017,2-883479102,LASBT Private,Noise Nuisance,LS6 2
