Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Primo Ristorante,West Point,29 Wellington Street,Leeds,,LS1 4JY,http://www.primo-ristorante.co.uk/
Primo's Gourmet Hot Dogs,The Concourse,Corn Exchange,Call Lane,Leeds,LS1 7BR,
The Arc,19 Ash Road,Headingley,,,LS6 3JJ,
Hirst's Yard,11 - 15 Hirsts Yard,Leeds,West Yorkshire,,LS1 6NJ,http://www.hirstsyard.co.uk
Duke of Wellington,Main Street,Leeds,,,LS17 9DB,http://www.thedukew1.co.uk/
Lazy Lounge,Westpoint,Leeds,,,LS1 4JY,http://lazy-lounge.com/
Miller and Carter Steakhouse,56-58 The Headrow,Leeds,,,LS1 8TL,http://www.millerandcarter.co.uk/millerandcarterleedslight/
Viva,9-11 Bridge End,Leeds,,,LS1 7HG,http://www.vivaitalianrestaurant.com
Graveley Fisheries,12-14 George Street,Leeds,,,LS2 7HY,
Global Tribe Cafe,18 Swan Street,Leeds,,,LS1 6LG,http://globaltribecafe.com/
Sukhothai - Headingley,St Annes Road,Headingley,,,LS6 3NX,http://sukhothai.co.uk/restaurants/leeds-headingley/
Opposite Cafe- Victoria Quarter,Victoria Quarter,Queen Victoria Street,,,LS1 6AZ,http://www.oppositecafe.co.uk/
Olive Tree Greek Restaurant,Oaklands,Rodley Lane,Rodley,,LS13 1NG,http://www.olivetreegreekrestaurant.co.uk
Mr Foley's Cask Ale House,159 The Headrow,Leeds,,,LS1 5RG,
Hayley and Clifford Delicatessen,43 Street Lane,Leeds,,,LS8 1AP,http://www.haleyandclifford.co.uk
Stew and Oyster Bar,36-38 The Calls,Leeds,,,LS2 7EW,
Patisserie Valerie,50a Albion Street,Leeds,,,LS1 6AD,
Library Pub,229 Woodhouse Lane,,,,LS2 3AP,
Aagrah Leeds,St Peter's Square,Quarry Hill,Leeds,,LS9 8AH,http://www.aagrah.com/restaurants/leeds-city/
Roundhay Fox,Prince Avenue,Roundhay,,,LS8 2EP,http://www.vintageinn.co.uk/theroundhayfoxleeds/
Bella Italia,145 Briggate,Leeds,,,LS1 6BR,http://www.bellaitalia.co.uk/
"The Fishermans Wife, Headingley",9 Weetwood Lane,Headingley,,,LS16 5LT,http://www.thefishermanswife.co.uk
Chaophraya,20A First Floor,Blayds Court,Swinegate,Leeds,LS1 4AG,http://www.chaophraya.co.uk
